所属模块,用例标题,前置条件,步骤,预期结果,优先级
存储组件-MinIO,验证minio accesskey ，secret key 输入异常情况,无,"1. 进入【控制台】-【存储组件】-【组件配置】，新增MinIo类型存储对象存储
2. accesskey， secret key 输入错误的，点击保存，点击测试联通性
3. accesskey ,secret key 输入空值，点击保存","1. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
2. 保存成功，测试联通性失败
3. 保存失败，密码不能为空",3
存储组件-MinIO,验证不同格式MinIo,无,"1. 进入【控制台】-【存储组件】-【组件配置】，新增MinIo类型存储对象存储
2. 配置http格式的minio endpoint，输入accesskey ，secret key，点击保存
3. 点击测试联通性
4. 配置 host：port 输入accesskey ，secret key，点击保存
5. 点击测试联通性","1. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
2. 系统提示保存成功，修改内容已生效并在页面中更新显示
3. 联通性通过
4. 系统提示保存成功，修改内容已生效并在页面中更新显示
5. 联通性通过",1
存储组件-MinIO,验证存储组件新增MinIo类型存储对象,无,"1. 进入【控制台】-【存储组件】-【组件配置】
2. 查看minio配置信息内容","1. 新增MinIo类型存储对象存储
2. 第一行： Endpoint 必填项
第二行：Access key 必填项
第三行： secret key 必填项
第四行： region
第五行：path style access",2
控制台-帮助文档,验证ai 问答与帮助问答无关问题,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 对话问答：今天天气如何
3. 对话问答：今天星期几","1. 成功进入【控制台】-【多集群管理】，新增集群页面，页面内容正常加载显示，无报错
2. ai预计返回：抱歉！知识库中提供的内容不足以回答此问题。
3. ai预计返回：抱歉！知识库中提供的内容不足以回答此问题。如果您有具体的问题，请提供详细信息，我将尽力帮助您。",2
控制台-帮助文档,验证ai 支持uic帮助文档,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 对话问答：uic的架构是什么
3. 对话问答：uic中有哪些用户对接认证
4. 对话问答：数栈的账号信息怎么弄","1. 成功进入【控制台】-【多集群管理】，新增集群页面，页面内容正常加载显示，无报错
2. 预计返回：uic-系统架构内容
3. 预计返回：uic-用户对接
4. 预计返回：uic-账号信息",1
控制台-帮助文档,验证ai支持控制台帮助文档,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 对话问答：介绍一下控制台这个产品
3. 对话问答：我想看一下2022年控制台的更新日志
4. 对话问答：如何快速入手控制台
5. 对话问答：如何配置集群
6. 对话问答：全局参数配置是什么","1. 成功进入【控制台】-【多集群管理】，新增集群页面，页面内容正常加载显示，无报错
2. 预计返回：控制台-产品简介
3. 预计返回：控制台-更新日志-2022年 全部更新日志
4. 预计返回：控制台-快速入门 内容信息
5. 预计返回：控制台-集群配置 内容
6. 预计返回：控制台-全局参数配置 内容",1
控制台-帮助文档,验证ai 支持业务中心帮助文档,无,"1. 进入【控制台】-【多集群管理】，新增集群
2. 对话问答：我想看一下数栈如何配置数据源信息
3. 对话问答：我知道如何配置告警通道
4. 对话问答：我需要知道告警配置如何配置
5. 对话问答：描述一下水印是做什么的
6. 对话问答：描述一下通用配置有哪些
7. 对话问答：介绍一下业务中心这个产品","1. 成功进入【控制台】-【多集群管理】，新增集群页面，页面内容正常加载显示，无报错
2. 预计返回：业务中心-新增数据源内容信息
3. ai预计返回：业务中心-告警通道内容信息
4. ai预计返回：业务中心-告警配置内容
5. ai预计返回：业务中心-水印管理-概述
6. ai预计返回：业务中心- 通用配置 内容
7. ai预计返回：业务中心-产品简介",1
控制台-计算组件,验证控制台删除spark3.5版本计算组件,无,"1. 进入【控制台】-【计算组件】
2. 选择spark3.5计算组件，点击删除计算组件按钮","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 组件删除成功，系统给出删除成功提示，该记录从列表中消失",2
控制台-计算组件,验证控制添加spark3.5版本计算组件,控制台历史配置了spark2.4版本的计算组件,"1. 进入【控制台】-【计算组件】
2. 查看添加版本下拉框","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 新增spark3.5版本",3
控制台-计算组件,验证spark3.5上传参数的功能,控制台没有配置spark3.5计算组件,"1. 进入【控制台】-【计算组件】
2. 选择spark3.5计算组件，选择参数批量上传，点击上传文件","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 文件上传成功，配置信息内容展示正确，内容与预期完全一致，无异常或错误",2
控制台-计算组件,验证spark3.5下载参数的功能,控制台已经配置好spark3.5计算组件,"1. 进入【控制台】-【计算组件】
2. 选择spark3.5计算组件，点击下载参数","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 下载成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
控制台-计算组件,验证控制台新增spark3.5计算组件,控制台没有配置spark组件,"1. 进入【控制台】-【计算组件】
2. 选择spark 查看所有版本
3. 选择spark3.5版本，查看spark3.5配置信息
4. 配置spark3.5内容，点击保存
5. 点击测试联通性","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 新增spark3.5版本
3. 内容与sprak3.2内容一致
4. 系统提示保存成功，修改内容已生效并在页面中更新显示
5. 联通性通过",1
存储组件-元数据库,验证切换【是否在首页展示】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】
2. 选择指定项目，开启【是否在首页展示】
3. 选择指定项目，关闭【是否在首页展示】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 在【产品中心】-【数栈】-【数据资源平台】显示
3. 在【产品中心】-【数栈】-【数据资源平台】不显示",1
存储组件-元数据库,验证【角色管理】-【查看】数据返回正确,无,1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【角色管理】-【查看】,1. 数据返回正确，内容与预期完全一致，无异常或错误,2
存储组件-元数据库,验证【角色管理】数据返回正确,无,1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【角色管理】,1. 数据返回正确，内容与预期完全一致，无异常或错误,2
存储组件-元数据库,验证【移出项目】成功,无,"1. 进入【产品中心】-【数栈】-【数据资源平台】-【项目空间管理】-【成员管理】-【用户】
2. 选择指定用户，【移出项目】","1. 系统提示操作成功，页面/数据状态更新为最新
2. 移出成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
