所属模块,用例标题,前置条件,步骤,预期结果,优先级
用户等级设置,验证用户列表用户等级权限点,无,"1. 进入【控制台】-【用户管理】-【角色管理】页面
2. 查看用户中心权限点","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 全局-用户中心新增编辑用户等级配置权限点
超级管理员、系统管理员有权限
集群管理员、租户所有者、租户管理员、普通用户无此权限
不可自定义角色权限",3
用户等级设置,验证修改用户等级设置触发审计日志的功能,无,"1. 进入用户中心，修改用户等级A、B、C、D、E，点击确定
2. 动作下拉框选择 修改动作
3. 进入【审计日志】页面，查看审计日志内容","1. 系统提示修改成功，页面显示修改后的最新内容
2. 
3. 详细展示用户：admin@dtstack.com 修改后用户等级：A、B、C、D、E",1
用户等级设置,验证审计日志新增修改用户等级设置动作,无,"1. 进入审计日志
2. 查看动作下拉框","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 新增修改用户等级设置",3
用户等级设置,验证控制台-用户管理 批量修改用户等级的功能,无,"1. 进入【控制台】-【用户管理】页面
2. 点击批量配置用户等级
3. 选择L3等级，点击确定
4. 用户详情","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 弹出批量配置用户等级弹窗
3. 系统提示修改成功，页面显示修改后的最新内容
4. 用户详情等级展示正确，内容与预期完全一致，无异常或错误",1
用户等级设置,验证进入用户详情修改用户等级的功能,无,"1. 进入【用户详情】页面
2. 编辑用户等级，修改用户等级为L4","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 用户等级修改成功，系统给出成功反馈，相关页面/数据状态更新为最新",2
用户等级设置,验证创建用户设置用户等级功能,无,"1. 进入【控制台】-【用户管理】页面
2. 点击创建账号
3. 输入必填项，账号、用户名、名称，选择用户等级L3，点击创建
4. 查看用户详情","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 弹出创建账号二次弹窗
3. 系统提示创建成功，列表中出现新创建的记录，记录内容与填写一致
4. 用户详情展示正确，内容与预期完全一致，无异常或错误",2
用户等级设置,验证创建用户未设置用户等级,无,"1. 进入【控制台】-【用户管理】页面
2. 点击创建账号
3. 输入必填项，账号、用户名、名称，未选择用户等级，点击创建
4. 查看用户详情","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 弹出创建账号二次弹窗
3. 系统提示创建成功，列表中出现新创建的记录，记录内容与填写一致
4. 用户详情展示正确，用户等级默认为最低等级",1
用户等级设置,验证用户等级修改的功能,无,"1. 进入【控制台】-【用户管理】页面
2. 修改用户等级：A、B、C、D、E，点击保存
3. 点击确定
4. 进入【数据资产平台】-【数据安全】-【级别管理查看用户等级】
5. 进入【用户管理】-【用户信息】，查看用户等级","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 弹出二次确认弹窗
弹窗内容：修改用户等级后，【数据资产平台-数据安全-级别管理】、【用户管理-用户信息】中原有的用户等级将会被同步修改，建议前往检查变更。
3. 系统提示修改成功，页面显示修改后的最新内容
4. 用户等级展示正确，内容与预期完全一致，无异常或错误
5. 用户等级展示正确，内容与预期完全一致，无异常或错误",1
用户等级设置,验证用户等级输入框功能,无,"1. 进入【控制台】-【用户管理】页面
2. 级别
3. 用户等级","1. 成功进入【控制台】-【用户管理】页面，页面内容正常加载显示，无报错
2. 不可编辑
3. 输入1-16位英文、字符、数字",2
用户等级设置,验证用户等级删除至L1后，删除按钮置灰功能,无,"1. 进入【控制台】-【用户管理】页面
2. 点击用户等级设置，删除L5~L2等级
3. 选择L1等级，点击删除","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 删除成功，用户等级自动上升至L1
3. 删除按钮置灰，不可进行删除",2
用户等级设置,验证用户等级删除功能,无,"1. 进入【控制台】-【用户管理】页面
2. 点击用户等级设置，选择L5等级，点击删除","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 删除成功，用户等级为L5等级用户自动上升至L4",1
用户等级设置,验证用户等级设置icon提示,无,"1. 进入【控制台】-【用户管理】-【用户等级设置】
2. 鼠标移入用户等级icon","1. 级别数字越小，代表的用户等级越低。
2. 未配置用户等级的用户，用户等级默认置为最低等级。",3
用户等级设置,验证新增用户等级设置功能,无,"1. 进入【控制台】-【用户管理】页面
2. 点击用户设置下拉框，选择用户等级等级设置
3. 点击新增用户等级，级别新增6，用户等级L6，点击保存","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 弹出用户等级二次弹窗，默认展示L1～L5
3. 系统提示保存成功，修改内容已生效并在页面中更新显示",2
用户等级设置,验证历史用户处理的功能,无,"1. 进入【控制台】-【用户管理】页面
2. 查看历史用户详情","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 用户等级修改为最低等级L1",1
用户等级设置,验证控制台-用户管理 新增用户设置下拉框,无,1. 进入【控制台】-【用户管理】页面，查看界面展示,"1. 页面新增用户设置下拉框
下拉框展示：用户自定义属性、新增用户等级设置，用户密码策略，最下面新增批量修改用户等级功能",3
用户等级设置,验证用户列表用户等级权限点,无,"1. 进入【角色管理】页面
2. 查看用户中心权限点","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 全局-用户中心新增编辑用户等级配置权限点
超级管理员、系统管理员有权限
集群管理员、租户所有者、租户管理员、普通用户无此权限
不可自定义角色权限",3
