所属模块,用例标题,前置条件,步骤,预期结果,优先级
数据资产-数据地图,验证关闭审批流程后，普通用户的数据表详情页申请状态按钮展示,1.在审批中心关闭审批流程<br />2.用普通用户进入资产的数据地图<br /><br />,1. 进入【元数据】【数据地图】表详情页,1. 页面右上角没有【申请权限按钮】,3
数据资产-数据地图,验证引入数据源模态框中数据源类型正确,进入【平台管理】【数据源管理】页面点击引入数据源，进入引入数据源弹窗,"1. 进入【元数据】【数据地图】表详情页
2. 查看数据源类型下拉框","1. 成功进入【元数据】【数据地图】表详情页面，页面内容正常加载显示，无报错
2. 返回所有系统数据源",3
数据资产-数据地图,验证数据源列表数据源类型展示,进入【平台管理】-【数据源管理】-【数据源列表】,"1. 进入【元数据】【数据地图】表详情页
2. 1.引入SparkThrift2.x/MySQL/dm for mysql/...数据源类型的数据源2.查看数据源列表数据源类型","1. 成功进入【元数据】【数据地图】表详情页面，页面内容正常加载显示，无报错
2. 数据源列表数据源类型文本展示正常，功能行为符合预期，无报错或异常",3
数据资产-数据地图,验证数据地图数据表列表申请权限按钮（非管理员）展示,"进入【元数据】-【数据地图】-【数据表】
用户为非管理员","1. 进入【元数据】【数据地图】表详情页
2. 查看数据表列表展示信息","1. 成功进入【元数据】【数据地图】表详情页面，页面内容正常加载显示，无报错
2. 数据地图数据表列表展示申请权限按钮",2
数据资产-数据地图,验证我的权限查看数据源类型列表展示（仅具有开发权限和访客权限的用户）,无,"1. 进入【元数据】【数据地图】表详情页
2. 查看数据源类型列表","1. 成功进入【元数据】【数据地图】表详情页面，页面内容正常加载显示，无报错
2. 查看数据源类型列表展示内容完整，各字段值与系统记录一致，页面内容与实际数据一致，各字段显示正常，无报错或异常提示",2
数据资产-数据地图,验证虚拟数据源增删改查,无,"1. 进入【元数据】【数据地图】表详情页
2. 1.点击虚拟数据源2.新增数据源a，新增自定义数据源类型：mysqla
3. 1.点击虚拟数据源2.新增数据源b，修改自定义数据源类型：mysqlb
4. 1.点击虚拟数据源，点击数据源类型下拉框2.删除数据源类型：mysqlb","1. 成功进入【元数据】【数据地图】表详情页面，页面内容正常加载显示，无报错
2. 虚拟数据源a新增成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 1.虚拟数据源b新增成功2.虚拟数据源a的自定义数据源类型变为：mysqlb
4. 1.数据源类型：mysqlb删除成功2.【数据源管理】页面的虚拟数据源a，虚拟数据源b删除成功",2
数据资产-数据地图,验证虚拟数据源面包屑导航展示,添加虚拟数据源a，数据源类型为mysqla,"1. 进入【元数据】【数据地图】表详情页
2. 查看虚拟数据源面包屑导航展示","1. 成功进入【元数据】【数据地图】表详情页面，页面内容正常加载显示，无报错
2. 虚拟数据源面包屑导航展示a(mysqla)",1
数据资产-数据地图,验证标准映射数据源类型列表数据展示,进入【数据标准】-【标准映射】,"1. 进入【元数据】【数据地图】表详情页
2. 1）点击标准映射2）点击数据源类型下拉框","1. 成功进入【元数据】【数据地图】表详情页面，页面内容正常加载显示，无报错
2. 下拉框下显示1）“全部” 2）已经元数据同步过的表的数据源",2
数据资产-数据标准-码表管理,验证【导出代码】支持导出当前列表下所有数据,"1.代码目录A下，有aa,bb两个代码。
代码aa的编码内容有五条，
代码bb的编码内容有1条
2.代码目录C下，有代码cc，代码cc的编码内容有1条；1","1. 进入 数据标准->码表管理 页面2、点击【导出代码】按钮3. 点击二次确认
2. 查看导出文件格式
3. 查看导出文件-代码信息sheet页面内容
4. 查看导出文件-编码信息sheet页面内容","1. 成功进入数据标准->码表管理 页面2、点击【导出代码】按钮3. 点击二次确认，页面内容正常加载显示，无报错
2. 导出一个excel文件
3. 导出文件中拆分为代码信息，编码信息两个sheet页展示
4. 1）代码信息sheet页面中有aa，bb，cc三条代码数据。2）aa，bb，cc代码的代码名称，代码编号，代码目录，代码说明,代码来源，创建时间，更新时间，更新用户数据正常显示
  （补充：5. 1）编码信息sheet页面中有7两条编码数据。2）编码信息中的代码名称、代码编号取得代码信息sheet页面中的代码名称、代码编号。3）代码aa对应5个“编）",1
数据资产-数据标准-码表管理,验证“更新时间”排序功能,无,"1. 进入【“更新时间”排序功能】页面
2. 点击“更新时间”上三角
3. 点击“更新时间”下三角","1. 成功进入【“更新时间”排序功能】页面，页面内容正常加载显示，无报错
2. 代码按照更新时间升序展示
3. 代码按照更新时间降序展示",3
