所属模块,用例标题,前置条件,步骤,预期结果,优先级
表生命周期统一,验证审计日志-离线开发正确展示表生命周期变更记录,"1) 存在Hive数据源${datasourceA}, 该数据源下有数据库${schemaA}, 该数据库下有数据表${tableA}
2) 离线开发-数据地图-数据表管理中已存在表${tableA}, 生命周期为9999天","1. 进入离线开发-数据地图-数据表管理-我管理的表
2. 查看表名为${tableA}的生命周期
3. 依次编辑并保存表${tableA}的生命周期, 由9999天 -> 500天 -> 50天 -> 1天
4. 进入【离线开发-安全审计-离线开发】页面
5. 【按操作对象筛选】选择【表】后, 展开【安全审计-离线开发-按动作筛选】选项
6. 选择【修改生命周期】后, 检查筛选结果
7. 等待一天后, 进入「离线开发-数据地图-数据表管理-我管理的表」, 检查表${tableA}","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 生命周期为9999天
3. 生命周期变更成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 存在三条【动作】为【修改生命周期】的操作记录, 详细内容依次为:
1) 更新${tableA}的生命周期，由 50 天调整为 1 天
2) 更新${tableA}的生命周期，由 500 天调整为 50 天
3) 更新${tableA}的生命周期，由 9999 天调整为 500 天
5. 新增筛选项【修改生命周期】
6. 仅展示操作对象为【表】, 且动作为【修改生命周期】的记录
7. 表${tableA}不存在 (生命周期已过期)",1
表生命周期统一,验证表生命周期更新功能正常(Hive表不存在),"建表语句:
CREATE TABLE example_partitioned_table (
id INT,
name STRING,
age SMALLINT,
bio STRING,
last_seen TIMESTAMP,
is_active BOOLEAN,
height DECIMAL(3,2),
email STRING,
registration_date TIMESTAMP,
profile_picture BINARY,
salary DOUBLE,
revision INT
)
COMMENT 'Example Partitioned Table'
PARTITIONED BY (birth_date DATE)
ROW FORMAT DELIMITED
FIELDS TERMINATED BY ','
STORED AS TEXTFILE;

INSERT INTO TABLE example_partitioned_table PARTITION (birth_date = '1994-06-14') VALUES
(3001, '黄娟', 30, 'UI设计师，注重界面美观与交互体验。', '2025-06-04 10:00:00', TRUE, 1.62, 'huangjuan@example.com', '2024-12-12 08:30:00', NULL, 14000.0, 1);

INSERT INTO TABLE example_partitioned_table PARTITION (birth_date = '1985-02-08') VALUES
(3002, '周杰', 40, '高级运维工程师，熟悉Kubernetes与云计算。', '2025-06-04 09:30:00', TRUE, 1.76, 'zhoujie@example.com', '2025-01-05 14:00:00', NULL, 20000.0, 2);

INSERT INTO TABLE example_partitioned_table PARTITION (birth_date = '1992-09-19') VALUES
(3003, '徐丽', 33, '市场营销专家，擅长品牌推广与社交媒体运营。', '2025-06-03 15:20:00', FALSE, 1.67, 'xuli@example.com', '2024-11-30 13:15:00', NULL, 16000.0, 1);","1. 进入离线开发-数据开发-周期任务
2. 创建SparkSQL任务, 并执行建表语句
3. 进入离线开发-数据地图-数据表管理-我管理的表
4. 查看表名为${tableA}的生命周期
5. 进入数据资产-元数据-元数据管理-${datasourceA}-${schemaA}
6. 勾选表${tableA}后, 点击【批量编辑生命周期】, 设置为3天后确定
7. 返回到离线开发-数据地图-数据表管理-我管理的表, 查看表${tableA}的生命周期
8. 选择表${tableA}, 点击【编辑】
9. 生命周期改为1天, 点击【保存】
10. 返回到数据资产-元数据-元数据管理-${datasourceA}-${schemaA}
11. 进入【离线开发-安全审计】页面
12. 检查【安全审计-离线开发】的审计日志列表记录","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 任务执行成功，状态显示为【执行成功/成功】，结果符合预期
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 生命周期为9999天
5. 进入成功, 存在表记录${tableA}, 且生命周期为9999天
6. 表${tableA}的生命周期更新为3天
7. 表生命周期由9999天变更为3天
8. 进入编辑页面
9. 表生命周期由3天变更为1天
10. 进入成功, 表${tableA}的生命周期由3天变更为1天
11. 成功进入目标页面，页面内容正常加载显示，无报错
12. 存在一条【动作】为【修改生命周期】的操作记录, 详细内容为: 更新${tableA}的生命周期，由 3 天调整为 1 天",3
表生命周期统一,验证表生命周期更新功能正常(Hive表不存在于平台),"存在Hive数据源${datasourceA}, 该数据源下有数据库${schemaA}, 该数据库下有数据表${tableA}, 该表尚未同步至离线平台

建表语句:
CREATE TABLE example_partitioned_table (
id INT,
name STRING,
age SMALLINT,
bio STRING,
last_seen TIMESTAMP,
is_active BOOLEAN,
height DECIMAL(3,2),
email STRING,
registration_date TIMESTAMP,
profile_picture BINARY,
salary DOUBLE,
revision INT
)
COMMENT 'Example Partitioned Table'
PARTITIONED BY (birth_date DATE)
ROW FORMAT DELIMITED
FIELDS TERMINATED BY ','
STORED AS TEXTFILE;

INSERT INTO TABLE example_partitioned_table PARTITION (birth_date = '1994-06-14') VALUES
(3001, '黄娟', 30, 'UI设计师，注重界面美观与交互体验。', '2025-06-04 10:00:00', TRUE, 1.62, 'huangjuan@example.com', '2024-12-12 08:30:00', NULL, 14000.0, 1);

INSERT INTO TABLE example_partitioned_table PARTITION (birth_date = '1985-02-08') VALUES
(3002, '周杰', 40, '高级运维工程师，熟悉Kubernetes与云计算。', '2025-06-04 09:30:00', TRUE, 1.76, 'zhoujie@example.com', '2025-01-05 14:00:00', NULL, 20000.0, 2);

INSERT INTO TABLE example_partitioned_table PARTITION (birth_date = '1992-09-19') VALUES
(3003, '徐丽', 33, '市场营销专家，擅长品牌推广与社交媒体运营。', '2025-06-03 15:20:00', FALSE, 1.67, 'xuli@example.com', '2024-11-30 13:15:00', NULL, 16000.0, 1);","1. 进入离线开发-数据源
2. 选择数据源${datasourceA}, 点击【同步元数据】, 配置如下:部分表: example_partitioned_table表类目: 类目管理生命周期: 9999天
3. 进入离线开发-数据地图-数据表管理-我管理的表
4. 查看表名为${tableA}的生命周期
5. 进入数据资产-元数据-元数据管理-${datasourceA}-${schemaA}
6. 勾选表${tableA}后, 点击【批量编辑生命周期】, 设置为3天后确定
7. 返回到离线开发-数据地图-数据表管理-我管理的表, 查看表${tableA}的生命周期
8. 选择表${tableA}, 点击【编辑】
9. 生命周期改为1天, 点击【保存】
10. 返回到数据资产-元数据-元数据管理-${datasourceA}-${schemaA}
11. 进入【离线开发-安全审计】页面
12. 检查【安全审计-离线开发】的审计日志列表记录","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 系统提示配置成功，配置项已生效，页面显示最新配置状态
3. 成功进入目标页面，页面内容正常加载显示，无报错
4. 生命周期为9999天
5. 进入成功, 存在表记录${tableA}, 且生命周期为9999天
6. 表${tableA}的生命周期更新为3天
7. 表生命周期由9999天变更为3天
8. 进入编辑页面
9. 表生命周期由3天变更为1天
10. 进入成功, 表${tableA}的生命周期由3天变更为1天
11. 成功进入目标页面，页面内容正常加载显示，无报错
12. 存在一条【动作】为【修改生命周期】的操作记录, 详细内容为: 更新${tableA}的生命周期，由 3 天调整为 1 天",3
表生命周期统一,验证表生命周期更新功能正常(Hive表已存在于平台),"1) 存在Hive数据源${datasourceA}, 该数据源下有数据库${schemaA}, 该数据库下有数据表${tableA}

2) 离线开发-数据地图-数据表管理中已存在表${tableA}, 生命周期为9999天","1. 进入离线开发-数据地图-数据表管理-我管理的表
2. 查看表名为${tableA}的生命周期
3. 进入数据资产-元数据-元数据管理-${datasourceA}-${schemaA}
4. 勾选表${tableA}后, 点击【批量编辑生命周期】, 设置为3天后确定
5. 返回到离线开发-数据地图-数据表管理-我管理的表, 查看表${tableA}的生命周期
6. 选择表${tableA}, 点击【编辑】
7. 生命周期改为1天, 点击【保存】
8. 返回到数据资产-元数据-元数据管理-${datasourceA}-${schemaA}
9. 进入【离线开发-安全审计】页面
10. 检查【安全审计-离线开发】的审计日志列表记录","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 生命周期为9999天
3. 进入成功, 存在表记录${tableA}, 且生命周期为9999天
4. 表${tableA}的生命周期更新为3天
5. 表生命周期由9999天变更为3天
6. 进入编辑页面
7. 表生命周期由3天变更为1天
8. 进入成功, 表${tableA}的生命周期由3天变更为1天
9. 成功进入目标页面，页面内容正常加载显示，无报错
10. 存在一条【动作】为【修改生命周期】的操作记录, 详细内容为: 更新${tableA}的生命周期，由 3 天调整为 1 天",1
计算引擎适配Gaussdb9.1,验证 GaussDB 数据源映射配置功能正常,"存在两个项目projectA(测试项目), projectB(生产项目)
1. projectA(测试项目)已对接gaussdb数据源${datasourceA}
2. projectB(生产项目)已对接gaussdb数据源${datasourceB}","1. 进入projectA(测试项目) -> 数据源
2. 选择数据源${datasourceA}, 点击【映射配置】
3. 展开【发布目标】
4. 选择${datasourceB}后, 点击【确定】
5. 再次点击【映射配置】","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 弹出【映射配置】弹窗, 存在必填项【发布目标】
3. 加载出projectB(生产项目)中的所有同类型(GaussDB)的Meta数据源名称
4. 映射配置成功，系统给出配置成功提示，配置已生效，页面显示最新配置
5. 数据源映射配置回显正常，功能行为符合预期，无报错或异常",2
计算引擎适配Gaussdb9.1,验证 GaussDB 任务一键发布&导入导出发布功能正常,"存在两个项目projectA(测试项目), projectB(生产项目), 项目A, B均已对接gaussdb数据源<br /><br />gaussdb建表语句: <br /><br />-- 创建银行客户账户与交易测试表，涵盖多种 openGauss 支持的数据类型<br />drop table if exists bank_customer_account;<br />CREATE TABLE bank_customer_account (<br /> customer_id            BIGINT,                          -- 数值类型（整型）<br /> account_number          INTEGER,                         -- 账号（整型）<br /> credit_limit             NUMERIC(18,2),                  -- 任意精度（货币类型）<br /> is_premium               BOOLEAN,                         -- 布尔类型<br /> customer_name             VARCHAR(200),                   -- 字符类型<br /> remarks_blob              BYTEA,                           -- 二进制类型<br /> open_date                 DATE,                            -- 日期类型<br /> last_transaction_ts        TIMESTAMP,                       -- 时间戳类型<br /> transaction_interval        TSTZRANGE,                      -- 范围类型 (带时区范围)<br /> customer_uuid              UUID,                            -- UUID 类型 :contentReference[oaicite:0]{index=0}<br /> metadata_json               JSONB,                           -- JSONB 类型 :contentReference[oaicite:1]{index=1}<br /> login_hll                   hll,                             -- HLL 类型 :contentReference[oaicite:2]{index=2}<br /> permission_bits              BIT VARYING(16),                 -- 位串类型 :contentReference[oaicite:3]{index=3}<br /> transaction_counts          INTEGER[],                       -- 数组类型 :contentReference[oaicite:4]{index=4}<br /> object_oid                   OID,                             -- 对象标识符类型 (OID) :contentReference[oaicite:5]{index=5}<br /> config_xml                    XML,                             -- XML 类型 :contentReference[oaicite:6]{index=6}<br /> acct_balance_double         DOUBLE PRECISION,              -- 浮点数 (双精度)<br /> small_balance                 SMALLINT                        -- 小整数<br />);<br /><br />-- 插入一条模拟银行客户账户数据<br />INSERT INTO bank_customer_account VALUES (<br /> 1000000000001,                     -- customer_id<br /> 12345678,                           -- account_number<br /> 250000.50,                          -- credit_limit<br /> TRUE,                               -- is_premium<br /> '李四-高端客户',                      -- customer_name<br /> E'\\xDEADBEEFCAFE',                  -- 备注 (bytea, 十六进制)<br /> DATE '2022-01-15',                   -- open_date<br /> TIMESTAMP '2025-11-17 09:45:30',     -- last_transaction_ts<br /> tstzrange(<br /> TIMESTAMP WITH TIME ZONE '2025-11-01 00:00:00+08',<br /> TIMESTAMP WITH TIME ZONE '2025-11-17 23:59:59+08'<br /> ),                                   -- transaction_interval<br /> '3f50f5a2-9d0b-4f3d-b244-9adbe1f12345', -- customer_uuid<br /> '{“preferred_channel“:“mobile“,“alerts“: [“sms“,“email“]}'::JSONB,  -- metadata_json<br /> hll_empty(),                         -- login_hll (初始 HLL)<br /> B'1011001110001111',                 -- permission_bits (16 位二进制)<br /> ARRAY[5, 10, 15],                     -- transaction_counts (示例数组)<br /> 9999::OID,                           -- object_oid (示范一个 OID 值)<br /> 'goldasia'::XML,  -- config_xml<br /> 12345.6789,                          -- acct_balance_double<br /> 32000                                -- small_balance<br />);<br /><br />-- 查询所有列，验证插入<br />SELECT * FROM bank_customer_account;<br /> 
<div><br /></div>
<br />","1. 进入projectA(测试项目) -> 数据开发-周期任务
2. 创建gaussdb sql任务taskA, 执行建表语句后, 提交并发布
3. 勾选任务taskA并打包
4. 点击【导出】按钮
5. 点击【发布】按钮
6. 切换到projectB(生产项目) -> 数据开发-周期任务
7. 临时运行任务taskA后, 冻结并删除该任务
8. 进入projectB(生产项目) -> 任务发布 -> 发布至本项目
9. 点击【导入发布包】, 选择zip文件${fileA}后, 点击【发布】按钮
10. 【数据源 - 本项目数据源】中选择projectB(生产项目)中的gaussdb数据源后, 点击【发布】
11. 检查 projectB(生产项目) -> 数据开发-周期任务
12. 临时运行任务taskA","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 发布成功, 跳转到【创建发布包】页面
3. 打包成功, 跳转到【发布至目标项目】页面
4. zip文件${fileA}导出成功，系统给出成功反馈，相关页面/数据状态更新为最新
5. 发布状态由【待发布】 -> 【发布成功】
6. 存在周期任务taskA, 任务内容与projectA(测试项目)中的taskA保持一致, GaussDB 任务一键发布功能正常
7. 运行/删除成功，系统给出删除成功提示，该记录从列表中消失
8. 成功进入目标页面，页面内容正常加载显示，无报错
9. 弹出【发布包校验】弹窗, 【数据源】需要手动配置, 其他配置均校验通过
10. 系统提示发布成功，发布状态更新，相关页面可访问
11. 存在周期任务taskA, 任务内容与projectA(测试项目)中的taskA保持一致, GaussDB 任务导入导出发布功能正常
12. 任务运行成功，状态显示为【运行成功/成功】，无报错信息",1
计算引擎适配Gaussdb9.1,验证 GaussDB 存储过程增删改查功能正常,无,"1. 进入【离线开发-数据开发-函数管理】页面
2. 存储过程配置如下:
1) 存储过程名称: proc_account_summary
2) 用途: 统计某账户的交易总数、总金额，并把这些值通过 OUT 参数返回
3) SQL:
CREATE OR REPLACE PROCEDURE ${项目标识}.proc_account_summary(
p_account_id    IN  BIGINT,
o_txn_count     OUT BIGINT,
o_total_amount  OUT NUMERIC
)
AS
DECLARE
v_count BIGINT;
v_sum   NUMERIC;
BEGIN
SELECT COUNT(*), COALESCE(SUM(txn_amount), 0)
INTO v_count, v_sum
FROM bank_transaction
WHERE account_id = p_account_id;
o_txn_count := v_count;
o_total_amount := v_sum;
RAISE NOTICE 'Account % has % transactions, total_amount = %',
p_account_id, o_txn_count, o_total_amount;
END;
/
4) 参数说明: 无
5) 存储位置: 存储过程
3. 右键编辑proc_account_summary 存储过程, 配置如下:用途: 根据交易类型和金额计算手续费
4. 在【自定义函数】目录下新增子目录A后, 右键移动proc_account_summary 存储过程存储位置到目录A
5. 点击 proc_account_summary 存储过程
6. 右键删除 proc_account_summary 存储过程","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. Toast提示: 创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. Toast提示: 编辑成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 系统提示移动成功，记录已移至目标位置，原位置记录消失
5. 展示【存储过程信息】, 内容回显正确，内容与预期完全一致，无异常或错误
6. Toast提示: 删除成功，系统给出删除成功提示，该记录从列表中消失",2
计算引擎适配Gaussdb9.1,验证 GaussDB 新建存储过程(异常场景),无,"1. 进入【离线开发-数据开发-函数管理】页面
2. 选择GaussDB SQL - 存储过程, 右键【新建存储过程】
3. 【存储过程名称】为空, 提交表单
4. 【存储过程名称】输入123, 提交表单
5. 【存储过程名称】输入非法字符#¥%, 提交表单
6. 【存储过程名称】输入21个英文字符, 提交表单
7. 【存储过程名称】输入20个英文字符, 提交表单
8. 【用途】输入201个字符, 提交表单
9. 【用途】输入200个字符, 提交表单
10. 【SQL】为空, 提交表单
11. 【参数说明】输入201个字符, 提交表单
12. 【参数说明】输入200个字符, 提交表单","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 弹出【新建存储过程】弹窗, 内容展示如下:1) 存储过程类型: 必填标识, 默认展示为GaussDB SQL, 置灰不可点击2) 存储过程名称: 必填标识, 置灰提示“请输入存储过程”3) 用途: 非必填, 置灰提示“请输入用途”4) SQL: 必填标识, “存储过程名称”未填写时SQL内存储过程名称位置为空,置灰提示:create or replace procedure ${项目标识}.${存储过程名称}RETURNS character varyingLANGUAGE 'plpgsq!'COST 100VOLATILEAS $BODY$ BEGIN perform “PRO_BU_MAINTAIN“ (to_Char(now(), yyyy-mm-dd')::varchar);RETURN 'ok':END$BODY$;ALTER FUNCTION odS.“PROCOMPUTINTAINCOMPUT“() OWNER TO bi:5) 参数说明: 非必填, 置灰提示“请输入参数说明”6) 存储位置: 必填标识, 默认展示存储过程, 支持切换存储过程下创建的文件夹
3. 置红提示: 存储过程名称不可为空！
4. 置红提示: 存储过程名称开头必须是英文！
5. 置红提示: 存储过程名称只能由字母、数字、下划线组成！
6. 置红提示: 存储过程名称不得超过20个字符！
7. 无红色提示, 【SQL】配置项中自动补充存储过程名称
8. 置红提示: 请控制在200个字符以内！
9. 无红色提示
10. SQL不能为空！
11. 置红提示: 请控制在200个字符以内！
12. 无红色提示",3
计算引擎适配Gaussdb9.1,验证 GaussDB 任务支持存储过程,"建表语句:<br /><br />-- 1. 创建银行交易表<br />CREATE TABLE bank_transaction (<br /> txn_id          BIGINT PRIMARY KEY,<br /> account_id       BIGINT NOT NULL,<br /> txn_amount       NUMERIC(18,2) NOT NULL,<br /> txn_type         VARCHAR(20),     -- 例如 'deposit' / 'withdraw'<br /> txn_time         TIMESTAMP WITH TIME ZONE NOT NULL,<br /> txn_currency     VARCHAR(3),      -- 货币 ISO 代码<br /> description      VARCHAR(200)<br />);<br /><br /><br />-- 2. 插入几条测试交易数据<br />INSERT INTO bank_transaction(txn_id, account_id, txn_amount, txn_type, txn_time, txn_currency, description) VALUES<br />(1, 1001, 1000.00, 'deposit', '2025-11-17 10:00:00+08', 'USD', 'Initial deposit'),<br />(2, 1001, 200.00, 'withdraw', '2025-11-17 11:00:00+08', 'USD', 'ATM withdrawal'),<br />(3, 1002, 500.00, 'deposit', '2025-11-17 12:00:00+08', 'EUR', 'Salary deposit'),<br />(4, 1002, 50.00, 'other', '2025-11-17 13:00:00+08', 'EUR', 'Misc fee');<br /><br />","1. 进入【离线开发-数据开发-函数管理】页面
2. 选择GaussDB SQL - 存储过程, 右键【新建存储过程】
3. 存储过程配置如下:
1) 存储过程名称: proc_account_summary
2) 用途: 统计某账户的交易总数、总金额，并把这些值通过 OUT 参数返回
3) SQL:
CREATE OR REPLACE PROCEDURE ${项目标识}.proc_account_summary(
p_account_id    IN  BIGINT,
o_txn_count     OUT BIGINT,
o_total_amount  OUT NUMERIC
)
AS
DECLARE
v_count BIGINT;
v_sum   NUMERIC;
BEGIN
SELECT COUNT(*), COALESCE(SUM(txn_amount), 0)
INTO v_count, v_sum
FROM bank_transaction
WHERE account_id = p_account_id;
o_txn_count := v_count;
o_total_amount := v_sum;
RAISE NOTICE 'Account % has % transactions, total_amount = %',
p_account_id, o_txn_count, o_total_amount;
END;
/
4) 参数说明: 无
5) 存储位置: 存储过程
4. 进入离线开发-周期任务, 创建gaussdb sql任务
5. 执行建表语句并插入数据
6. 调用存储过程:
DECLARE
v_txn_count    NUMBER;
v_total_amount NUMBER;
BEGIN
${项目标识}.proc_account_summary(1001, v_txn_count, v_total_amount);
RAISE NOTICE '交易次数: %', v_txn_count;
RAISE NOTICE '总计金额: %', v_total_amount;
END;
/","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. 弹出【新建存储过程】弹窗, 内容展示如下:
1) 存储过程类型: 必填标识, 默认展示为GaussDB SQL, 置灰不可点击
2) 存储过程名称: 必填标识, 置灰提示“请输入存储过程”
3) 用途: 非必填, 置灰提示“请输入用途”
4) SQL: 必填标识, “存储过程名称”未填写时SQL内存储过程名称位置为空,置灰提示:
create or replace procedure ${项目标识}.${存储过程名称}
RETURNS character varying
LANGUAGE 'plpgsq!'
COST 100
VOLATILE
AS $BODY$ BEGIN perform “PRO_BU_MAINTAIN“ (to_Char(now(), yyyy-mm-dd')::varchar);
RETURN 'ok':
END
$BODY$;
ALTER FUNCTION odS.“PROCOMPUT
INTAINCOMPUT“() OWNER TO bi:
5) 参数说明: 非必填, 置灰提示“请输入参数说明”
6) 存储位置: 必填标识, 默认展示存储过程, 支持切换存储过程下创建的文件夹
3. 系统提示添加成功，列表中出现新添加的记录，记录内容与填写一致
4. 系统提示创建成功，列表中出现新创建的记录，记录内容与填写一致
5. 任务执行成功，状态显示为【执行成功/成功】，结果符合预期
6. PL/SQL执行成功, 结果正常返回",1
计算引擎适配Gaussdb9.1,验证 GaussDB 自定义函数增删改查功能正常,无,"1. 进入【离线开发-数据开发-函数管理】页面
2. 新建GaussDB 自定义函数, 配置如下:
1) 函数名称: calculate_fee
2) SQL:
CREATE FUNCTION ${项目标识}.calculate_fee
(p_amount NUMERIC, p_type VARCHAR)
RETURNS NUMERIC
LANGUAGE plpgsql
IMMUTABLE
AS $$
DECLARE
v_fee NUMERIC := 0;
BEGIN
IF p_type = 'withdraw' THEN
-- 假设提现手续费 1%
v_fee := p_amount * 0.01;
ELSIF p_type = 'deposit' THEN
-- 存款手续费 固定 2 单位货币
v_fee := 2.00;
ELSE
-- 其它交易类型默认费用
v_fee := p_amount * 0.005;
END IF;
RETURN v_fee;
END;
$$;
3. 右键编辑calculate_fee函数, 配置如下:用途: 根据交易类型和金额计算手续费
4. 在【自定义函数】目录下新增子目录A后, 右键移动calculate_fee函数存储位置到目录A
5. 点击calculate_fee函数
6. 右键删除calculate_fee函数","1. 成功进入目标页面，页面内容正常加载显示，无报错
2. Toast提示: 创建成功，系统给出创建成功提示，列表中出现新创建的记录
3. Toast提示: 编辑成功，系统给出成功反馈，相关页面/数据状态更新为最新
4. 系统提示移动成功，记录已移至目标位置，原位置记录消失
5. 展示【函数信息】, 内容回显正确，内容与预期完全一致，无异常或错误
6. Toast提示: 删除成功，系统给出删除成功提示，该记录从列表中消失",2
