所属模块,用例标题,前置条件,步骤,预期结果,优先级
告警配置-告警通道,验证告警规则配置多个告警方式，其中有一个告警通道维护模式是关闭,无,"1. 进入【告警通道】页面
2. 操作关闭自定义告警通道B告警通道维护模式
3. 进入离线开发，配置自定义告警通道A告警，自定义告警通道B告警，触发告警规则","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 关闭成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 告警记录新增一条记录，自定义告警通道B没有接收到告警信息，自定义告警通道A接受到告警信息",1
告警配置-告警通道,验证全局维护模式的优先级的功能,无,"1. 进入【告警通道】页面
2. 维护模式全部关闭，操作开启全局维护模式
3. 进入离线开发，配置自定义告警通道A告警规则，触发告警规则","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 开启成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 告警记录新增一条记录，自定义告警通道A没有接收到告警信息",2
告警配置-告警通道,验证单独开启自定义告警通道A告警通道维护模式发送告警的功能,无,"1. 进入【告警通道】页面
2. 操作 开启自定义告警通道A告警通道维护模式
3. 进入离线开发，配置自定义告警通道A告警，发送自定义告警通道A告警","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 开启成功，系统给出成功反馈，相关页面/数据状态更新为最新
3. 告警记录新增一条记录，自定义告警通道A没有接收到告警信息",2
告警配置-告警通道,验证维护模式icon提示,无,"1. 进入【告警通道】页面
2. 鼠标移入维护模式icon","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 提示：维护模式开启期间，信息将正常记录但不会通过告警通道发送。
维护模式关闭期间，产生的告警信息将通过告警通道正常发送；",3
告警配置-告警通道,验证告警通道界面初始化,无,"1. 进入【告警通道】页面
2. 查看界面初始化","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 维护模式更改为全局维护
列表新增 维护模式
内容列  新增维护模式开/关，默认全部关闭",1
租户管理,验证个人信息-租户信息同步功能,无,"1. 进入【用户管理】页面
2. 选择租户A，进入【用户管理】页面
3. 操作新增用户组，选择跨租户引入，选择租户B，选择选择用户组B，用户成员冲突策略：不转移，设置默认用户组，输入用户组名称，选择产品权限，点击确定
4. 进入【用户管理】页面
5. 点击用户名称
6. 查看租户信息","1. 成功进入【用户管理】页面，页面内容正常加载显示，无报错
2. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
3. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
4. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
5. 进入【用户详情】页面
6. 租户信息同步正确，内容与预期完全一致，无异常或错误",1
租户管理,验证针对用户组详情中用户的操作功能,无,"1. 进入【租户管理】页面
2. 初始化构建测试时间，新增用户组
3. 操作编辑权限
4. 操作重置密码
5. 操作续期
6. 操作移除","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 
3. 系统提示编辑成功，修改内容已更新，页面显示最新内容
4. 系统提示修改成功，页面显示修改后的最新内容
5. 续期成功，系统给出成功反馈，相关页面/数据状态更新为最新
6. 移除成功，系统给出删除成功提示，该记录从列表中消失",2
租户管理,验证用户组编辑的功能,无,"1. 进入【租户管理】页面
2. 初始化构建测试数据，新增多个用户组
3. 操作编辑
4. 修改用户组名称，新增选择用户，操作确定","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 
3. 弹出编辑用户组二次弹窗
4. 系统提示编辑成功，修改内容已更新，页面显示最新内容",2
租户管理,验证用户组删除的功能,无,"1. 进入【用户管理】页面
2. 初始化构建测试数据，新增多个用户组
3. 操作删除
4. 操作确认","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. 
3. 弹出确认删除该用户组？二次弹窗
4. 系统提示删除成功，该条记录从列表中消失，总记录数减1",2
租户管理,验证用户是租户管理员跨租户引入的功能,用户A在租户A是租户管理员，在租户B为普通用户,"1. 进入【用户管理】页面
2. 选择租户A，进入【用户管理】页面
3. 操作新增用户组，选择租户引入，选择租户B","1. 成功进入【用户管理】页面，页面内容正常加载显示，无报错
2. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
3. 下拉框无租户B",1
租户管理,验证用户成员冲突策略转移 的功能,"1、初始化创建 租户A，其中租户A存在用户A、B、C，存在用户组A：用户 A、B   授予数栈权限

2、初始化创建 租户B ，其中租户B 存在用户A、B、C、D  存在用户组B：A、B、C、D

3、初始化创建 租户C，其中租户C 存在用户A、B、C、D 存在用户组C：用户C、D

4、初始化创建 租户D 租户D中无用户存在","1. 进入【用户管理】页面
2. 选择租户A，进入【用户管理】页面
3. 操作新增用户组，选择跨租户引入，选择租户B，选择选择用户组B，用户成员冲突策略：转移，设置默认用户组，输入用户组名称，选择产品权限，点击确定
4. 查看用户组A详情
5. 查看用户组B 详情","1. 成功进入【用户管理】页面，页面内容正常加载显示，无报错
2. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
3. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
4. 展示为空
5. 展示用户A、B、C、D",1
租户管理,验证用户成员冲突策略不转移 的功能,"1、初始化创建 租户A，其中租户A存在用户A、B、C，存在用户组A：用户 A、B   授予数栈权限

2、初始化创建 租户B ，其中租户B 存在用户A、B、C、D  存在用户组B：A、B、C、D

3、初始化创建 租户C，其中租户C 存在用户A、B、C、D 存在用户组C：用户C、D

4、初始化创建 租户D 租户D中无用户存在","1. 进入【用户管理】页面
2. 选择租户A，进入【用户管理】页面
3. 操作新增用户组，选择跨租户引入，选择租户B，选择选择用户组B，用户成员冲突策略：不转移，设置默认用户组，输入用户组名称，选择产品权限，点击确定
4. 查看用户组A详情
5. 查看用户组B 详情","1. 成功进入【用户管理】页面，页面内容正常加载显示，无报错
2. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
3. 系统提示新增成功，列表顶部出现一条新建记录，内容与填写一致
4. 展示用户A、B
5. 展示用户C、D",2
租户管理,验证用户组成员重复策略icon说明,无,"1. 进入【用户管理】页面
2. 操作新增用户组，选择跨租户引入，鼠标移入用户组成员重复策略icon","1. 成功进入【目标】页面，页面内容正常加载显示，无报错或权限拦截
2. icon提示：一个用户只允许加入一个用户组，若跨租户引入的用户组成员已在当前租户的用户组下，可选择是否将他们转移到当前新用户组下。",3
